isolate.code,isolation.longitude.cor,isolation.latitude.cor,Thab.past,Thab.fut,Thab.change,safety_margin,warming_tolerance,growth.eq,DGE
631,288.61,41.57,13.91142949,17.4805169,3.569087412,6.988570507,16.18857051,25.71449421,11.80306472
632,288.61,41.57,13.91142949,17.4805169,3.569087412,6.988570507,16.18857051,25.71807856,11.80664906
633,288.61,41.57,13.91142949,17.4805169,3.569087412,7.888570507,16.28857051,26.82301828,12.91158879
634,288.61,41.57,13.91142949,17.4805169,3.569087412,6.388570507,16.18857051,24.9134552,11.00202571
635,288.61,41.57,13.91142949,17.4805169,3.569087412,5.588570507,16.18857051,23.98325347,10.07182397
636,288.61,41.57,13.91142949,17.4805169,3.569087412,8.388570507,18.58857051,27.970948,14.05951851
637,289.42,41.57,13.01767622,16.70978784,3.692111618,10.48232378,21.98232378,31.21348451,18.19580829
638,14.15,40.9,17.4765951,20.81904513,3.342450035,5.323404901,17.7234049,27.3837321,9.907137004
639,288.61,41.57,13.91142949,17.4805169,3.569087412,12.18857051,22.08857051,33.40906922,19.49763973
640,288.61,41.57,13.91142949,17.4805169,3.569087412,13.68857051,22.28857051,34.31803009,20.4066006
642,288.61,41.57,13.91142949,17.4805169,3.569087412,9.088570507,16.08857051,28.13033295,14.21890346
643,288.61,41.57,13.91142949,17.4805169,3.569087412,7.988570507,22.28857051,29.05097143,15.13954193
645,136.53,8.54,28.48584652,31.52595347,3.040106948,-6.485846524,-2.685936524,28.48584316,0
646,319.45,38.98,18.13325949,20.99818026,2.864920774,4.466740513,7.957840513,25.02849231,6.895232824
647,296.567,26.3,24.40588811,27.75724842,3.351360311,0.694111889,5.416131889,25.73146193,1.325573822
648,292.5,33.7413,22.28649601,25.36077638,3.07428037,-1.646496009,6.216743991,22.28650543,0
649,134.5,7.5,28.61525008,31.65499082,3.039740744,-4.455250079,1.157799921,28.61522816,0
650,118.65,38.6,11.12537734,15.05105981,3.925682474,11.15462266,15.93777266,28.55256761,17.42719027
651,146.114,-17.73,25.58970834,28.30545393,2.715745591,-2.689708339,15.27550291,25.58967894,0
652,331.2,38.57,17.53483214,20.57217094,3.037338807,3.965167864,12.85774284,24.78714471,7.252312572
653,331.2,38.57,17.53483214,20.57217094,3.037338807,5.765167864,15.49063818,27.78977894,10.2549468
654,331.2,38.57,17.53483214,20.57217094,3.037338807,3.565167864,12.38734389,24.10309181,6.568259671
655,331.2,38.57,17.53483214,20.57217094,3.037338807,4.965167864,13.1068105,26.22798683,8.693154693
656,331.2,38.57,17.53483214,20.57217094,3.037338807,4.465167864,13.38130844,25.61739301,8.082560878
657,331.2,38.57,17.53483214,20.57217094,3.037338807,4.665167864,12.54879672,25.75849517,8.223663036
658,354.75,60.3,9.696302817,11.93367618,2.237373366,11.20369718,18.21466,26.34506147,16.64875865
659,354.75,60.3,9.696302817,11.93367618,2.237373366,13.20369718,18.57907775,27.64333368,17.94703086
660,354.75,60.3,9.696302817,11.93367618,2.237373366,12.80369718,18.55640172,27.41691472,17.72061191
661,354.75,60.3,9.696302817,11.93367618,2.237373366,12.60369718,18.6288511,27.34495172,17.6486489
662,354.75,60.3,9.696302817,11.93367618,2.237373366,12.80369718,18.54889856,27.39253827,17.69623545
663,340.02,23.55,20.87741198,23.41596926,2.538557276,12.22258802,18.12038446,38.2945363,17.41712432
664,268.7,27.7,24.02122923,27.32396532,3.302736085,7.578770765,13.20836088,35.72606262,11.70483338
665,292.5,33.75,22.28563554,25.3593466,3.073711063,9.414364461,12.85692371,34.81950715,12.53387161
666,356.02,48.72,13.11081004,16.13479986,3.023989814,12.68918996,18.91339437,32.04438121,18.93357117
667,356.52,60.32,9.607076906,11.92161697,2.314540065,12.49292309,16.49612166,25.82360458,16.21652768
668,1.98,61,8.6845389,11.48524666,2.80070776,13.5154611,17.44014367,25.90582354,17.22128464
669,85,-59,0.791170814,1.597670377,0.806499563,1.808829186,10.77506969,4.950108841,4.158938027
670,91.5,-58.9,1.147267055,2.083657588,0.936390533,2.152732945,10.60533405,5.610481483,4.463214429
671,85,-62,0.283096447,1.004369281,0.721272834,6.616903553,12.99016415,11.94300158,11.65990513
672,79,-65,-0.272735659,0.448469054,0.721204714,17.17273566,24.10044076,23.330548,23.60328366
673,288.61,41.57,13.91142949,17.4805169,3.569087412,17.18857051,21.34176051,35.49302818,21.58159869
674,288.61,41.57,13.91142949,17.4805169,3.569087412,17.38857051,21.34940051,35.29652337,21.38509388
675,288.61,41.57,13.91142949,17.4805169,3.569087412,12.88857051,22.56009051,35.14326673,21.23183723
676,288.61,41.57,13.91142949,17.4805169,3.569087412,14.78857051,22.65851051,38.04099319,24.12956369
677,288.61,41.57,13.91142949,17.4805169,3.569087412,15.48857051,21.44280051,35.09033435,21.17890486
678,288.61,41.57,13.91142949,17.4805169,3.569087412,15.88857051,20.05011051,34.00133503,20.08990554
679,288.61,41.57,13.91142949,17.4805169,3.569087412,12.98857051,19.68918051,33.11502834,19.20359885
680,288.61,41.57,13.91142949,17.4805169,3.569087412,10.98857051,19.06715051,33.31974165,19.40831215
681,288.61,41.57,13.91142949,17.4805169,3.569087412,13.48857051,20.38224051,34.51853171,20.60710221
682,288.61,41.57,13.91142949,17.4805169,3.569087412,14.08857051,19.82792051,33.54215889,19.6307294
683,288.61,41.57,13.91142949,17.4805169,3.569087412,13.18857051,18.00917051,32.20498744,18.29355795
684,310,28,23.24029039,26.48918603,3.248895641,4.859709611,10.98556961,31.33612758,8.095837195
