"","lat","tos","tossd","tos_n","ci_u","ci_l"
"1",88.7543402777778,0.102223395619898,0.00140638246610152,288,0.102359719865065,0.102087071374732
"2",87.5130208333333,0.114259907469533,0.00711019737039311,288,0.114949117064268,0.113570697874799
"3",86.2717013888889,0.114645351356665,0.0125508697636051,288,0.115861939225148,0.113428763488182
"4",85.0303819444444,0.119235820055562,0.019867275753359,288,0.121161605847032,0.117310034264091
"5",83.7890625,0.126606721895637,0.0290589749568757,288,0.129423482571905,0.123789961219368
"6",82.5477430555556,0.136688911445332,0.0430277804554132,288,0.140859704123112,0.132518118767552
"7",81.3064236111111,0.165374170074762,0.0628575909382446,288,0.171467116939632,0.159281223209892
"8",80.0651041666667,0.182378544113111,0.0881418183076303,252,0.191512262924203,0.173244825302019
"9",78.8237847222222,0.202897854749731,0.114242864730584,253,0.214712881970515,0.191082827528947
"10",77.5824652777778,0.232260482735453,0.13356109560135,254,0.246046188881052,0.218474776589853
"11",76.3411458333333,0.246519917799036,0.147296687359907,253,0.261753380079528,0.231286455518545
"12",75.0998263888889,0.234512873252305,0.103020321007569,243,0.245384277980985,0.223641468523626
"13",73.8585069444444,0.243640639251113,0.0738755981240781,241,0.25146877577314,0.235812502729087
"14",72.6171875,0.257243059895502,0.0860674255463804,236,0.26645919246681,0.248026927324193
"15",71.3758680555556,0.283723878025493,0.118025958854606,200,0.297452547264814,0.269995208786171
"16",70.1345486111111,0.323606941505123,0.130578701005488,180,0.339617334548884,0.307596548461363
"17",68.8932291666667,0.303502337887939,0.144806303515725,146,0.32321643728009,0.283788238495789
"18",67.6519097222222,0.297624374916181,0.167472298007273,102,0.324902140698099,0.270346609134263
"19",66.4105902777778,0.282687993457939,0.167490576329205,86,0.312398294587467,0.25297769232841
"20",65.1692708333333,0.311876814146746,0.174212600869362,87,0.342601386054778,0.281152242238714
"21",63.9279513888889,0.341277633701013,0.231791557255743,89,0.381695046704951,0.300860220697074
"22",62.6866319444444,0.296453283962458,0.149333870781166,95,0.321656874881133,0.271249693043783
"23",61.4453125,0.268034945206605,0.143558451561474,101,0.291533111922452,0.244536778490758
"24",60.2039930555556,0.28436881360106,0.138660526333808,112,0.305921913174819,0.262815714027301
"25",58.9626736111111,0.315398113303098,0.191256283290712,138,0.342180055655976,0.288616170950221
"26",57.7213541666667,0.349672611998938,0.189066545278498,148,0.375237843703609,0.324107380294267
"27",56.4800347222222,0.407938857880224,0.222339406503561,151,0.437703034344286,0.378174681416162
"28",55.2387152777778,0.427357191137939,0.222767826957631,144,0.457894947416714,0.396819434859164
"29",53.9973958333333,0.429038100853561,0.199346913169527,136,0.457157495257567,0.400918706449556
"30",52.7560763888889,0.434302179063784,0.181032308571155,125,0.460938055128028,0.407666302999539
"31",51.5147569444444,0.449673783650101,0.169621416260312,124,0.474731168586412,0.42461639871379
"32",50.2734375,0.468001001716989,0.158248897668779,134,0.490489175907004,0.445512827526975
"33",49.0321180555556,0.511577871372848,0.154699903028201,133,0.533644202111776,0.48951154063392
"34",47.7907986111111,0.517133382555496,0.146574027008758,136,0.537808761016649,0.496458004094343
"35",46.5494791666667,0.55734956687996,0.158872381673608,143,0.579204339364651,0.53549479439527
"36",45.3081597222222,0.551646233991162,0.155433972567693,148,0.572663730860411,0.530628737121913
"37",44.0668402777778,0.530644884764588,0.164214437900704,162,0.551868518052443,0.509421251476733
"38",42.8255208333333,0.485249306177138,0.139465773449917,166,0.503055844468345,0.467442767885932
"39",41.5842013888889,0.443251423869266,0.123508130523107,166,0.459020541990744,0.427482305747788
"40",40.3428819444444,0.373417155126275,0.133940667803547,163,0.390674920488764,0.356159389763786
"41",39.1015625,0.379208109885951,0.188378088480918,171,0.402905375301285,0.355510844470617
"42",37.8602430555556,0.301885237001832,0.15010945042058,177,0.320445635824507,0.283324838179157
"43",36.6189236111111,0.231524217265433,0.123835965217483,186,0.246460971101744,0.216587463429122
"44",35.3776041666667,0.187486230360932,0.0965486895051963,180,0.199324167596754,0.17564829312511
"45",34.1362847222222,0.151252046860285,0.0790636247502441,178,0.161000430726722,0.141503662993848
"46",32.8949652777778,0.11974480941654,0.0653008274801742,177,0.127818980616867,0.111670638216213
"47",31.6536458333333,0.0889673059143745,0.0632232444824859,176,0.0968067695067081,0.0811278423220409
"48",30.4123263888889,0.0659680977951641,0.0654193663971501,167,0.0742955855023795,0.0576406100879487
"49",29.1710069444444,0.0393393184204485,0.0640512882057442,177,0.0472589893730358,0.0314196474678612
"50",27.9296875,0.0125906856797321,0.0687402752069794,177,0.0210901300481399,0.00409124131132439
"51",26.6883680555556,-0.0167749986105289,0.0764713916634935,183,-0.00747593215956728,-0.0260740650614905
"52",25.4470486111111,-0.0451909542215515,0.0772068322285986,189,-0.0359526824525517,-0.0544292259905512
"53",24.2057291666667,-0.0662729146694586,0.07854903069437,192,-0.056947758406173,-0.0755980709327442
"54",22.9644097222222,-0.0850425202936686,0.0770620426932524,189,-0.0758215734820363,-0.0942634671053009
"55",21.7230902777778,-0.1088422435536,0.0782012220311239,198,-0.0997001250415556,-0.117984362065644
"56",20.4817708333333,-0.128804302632132,0.0783432667593682,207,-0.119846893599399,-0.137761711664865
"57",19.2404513888889,-0.144938884424934,0.0764134446217273,208,-0.136223149520667,-0.153654619329201
"58",17.9991319444444,-0.159303201371097,0.068847897983725,213,-0.151543110877316,-0.167063291864879
"59",16.7578125,-0.172556887143547,0.0630433033090788,220,-0.165565014277422,-0.179548760009671
"60",15.5164930555556,-0.188330413876394,0.0572980581447062,222,-0.182004411964221,-0.194656415788567
