"","lat","tos","tossd","tos_n","ci_u","ci_l"
"1",88.7543402777778,NA,NA,0,NA,NA
"2",87.5130208333333,NA,NA,0,NA,NA
"3",86.2717013888889,NA,NA,0,NA,NA
"4",85.0303819444444,NA,NA,0,NA,NA
"5",83.7890625,NA,NA,0,NA,NA
"6",82.5477430555556,NA,NA,0,NA,NA
"7",81.3064236111111,NA,NA,0,NA,NA
"8",80.0651041666667,NA,NA,0,NA,NA
"9",78.8237847222222,NA,NA,0,NA,NA
"10",77.5824652777778,NA,NA,0,NA,NA
"11",76.3411458333333,NA,NA,0,NA,NA
"12",75.0998263888889,NA,NA,0,NA,NA
"13",73.8585069444444,NA,NA,0,NA,NA
"14",72.6171875,NA,NA,0,NA,NA
"15",71.3758680555556,NA,NA,0,NA,NA
"16",70.1345486111111,NA,NA,0,NA,NA
"17",68.8932291666667,NA,NA,0,NA,NA
"18",67.6519097222222,NA,NA,0,NA,NA
"19",66.4105902777778,NA,NA,0,NA,NA
"20",65.1692708333333,NA,NA,0,NA,NA
"21",63.9279513888889,NA,NA,0,NA,NA
"22",62.6866319444444,NA,NA,0,NA,NA
"23",61.4453125,NA,NA,0,NA,NA
"24",60.2039930555556,0.364226311115683,0.0355451328670966,13,0.380443454930633,0.348009167300734
"25",58.9626736111111,0.358123925535025,0.0730389532954267,17,0.387264357306762,0.328983493763288
"26",57.7213541666667,0.385033321698236,0.143598533895575,18,0.440710812600397,0.329355830796076
"27",56.4800347222222,0.427781364079866,0.169002877058953,21,0.488448061428256,0.367114666731475
"28",55.2387152777778,0.454730748870112,0.206209991148858,23,0.525462056629973,0.383999441110252
"29",53.9973958333333,0.50078359418281,0.191458285929114,30,0.558285129592993,0.443282058772627
"30",52.7560763888889,0.541612219630197,0.223534706453221,34,0.604674751914268,0.478549687346126
"31",51.5147569444444,0.555232719086915,0.197340894525436,36,0.609337014335972,0.501128423837858
"32",50.2734375,0.585505271871048,0.178072010949965,42,0.630705114241636,0.540305429500459
"33",49.0321180555556,0.635003186269249,0.192141192564882,44,0.682652872584137,0.587353499954361
"34",47.7907986111111,0.691234177629372,0.203016105609198,53,0.737107316744877,0.645361038513867
"35",46.5494791666667,0.752727032651622,0.181462470324679,60,0.791263961034803,0.71419010426844
"36",45.3081597222222,0.792053578618457,0.167177474823831,74,0.824022486739011,0.760084670497904
"37",44.0668402777778,0.834608904225248,0.172113760714345,104,0.862371804094561,0.806846004355935
"38",42.8255208333333,0.868003031853554,0.162489544019756,131,0.891356730639552,0.844649333067556
"39",41.5842013888889,0.908420332418828,0.154485019595496,166,0.928144479417753,0.888696185419903
"40",40.3428819444444,0.854834663870663,0.186534627448759,163,0.878868968651132,0.830800359090195
"41",39.1015625,0.839874154657666,0.270812521739184,171,0.873941366280845,0.805806943034486
"42",37.8602430555556,0.752322831692787,0.261878987542407,177,0.784703061174988,0.719942602210586
"43",36.6189236111111,0.654060741420928,0.249627400855604,186,0.68417011256226,0.623951370279596
"44",35.3776041666667,0.580466906436255,0.229812572029735,180,0.608644469670239,0.552289343202272
"45",34.1362847222222,0.493250025596599,0.18792642287487,178,0.516420970700845,0.470079080492353
"46",32.8949652777778,0.419421664572138,0.15458683198696,177,0.438535672693365,0.400307656450911
"47",31.6536458333333,0.34959504251667,0.123935722770942,176,0.364962643379379,0.33422744165396
"48",30.4123263888889,0.30809299505812,0.108517523414571,167,0.321906616192361,0.29427937392388
"49",29.1710069444444,0.260830232379593,0.0845370755613323,177,0.271282884316728,0.250377580442458
"50",27.9296875,0.224953997501334,0.0838250580991937,177,0.235318611489965,0.214589383512702
"51",26.6883680555556,0.184763099461837,0.0871431359939101,183,0.195359870289788,0.174166328633885
"52",25.4470486111111,0.144650004933127,0.0897275781143916,189,0.155386460864132,0.133913549002121
"53",24.2057291666667,0.115527061714802,0.0913116329097013,192,0.126367364109517,0.104686759320087
"54",22.9644097222222,0.085772594301385,0.0877456417334468,189,0.096271899369086,0.075273289233684
"55",21.7230902777778,0.0610464518054131,0.0910814771882289,198,0.071694337312566,0.0503985662982602
"56",20.4817708333333,0.0431339737615836,0.0884764579438982,207,0.0532499652992497,0.0330179822239174
"57",19.2404513888889,0.029279806897867,0.0795519815852877,208,0.0383535240433095,0.0202060897524246
"58",17.9991319444444,0.011680008508049,0.0737587829284657,213,0.0199936222420711,0.0033663947740269
"59",16.7578125,-0.00511301194248665,0.0635071955650576,220,0.00193030930129469,-0.012156333186268
"60",15.5164930555556,-0.0212225973648545,0.0555608299256163,222,-0.0150883944314197,-0.0273568002982894
"61",14.2751736111111,-0.035192880628966,0.0468741342554027,231,-0.0301195499332937,-0.0402662113246382
"62",13.0338541666667,-0.0476670975089185,0.0416648321195913,234,-0.0431865858697678,-0.0521476091480692
"63",11.7925347222222,-0.0555124087462786,0.0361814489023269,236,-0.051638085474855,-0.0593867320177022
"64",10.5512152777778,-0.0708842309885618,0.033067653794983,235,-0.0673358082527229,-0.0744326537244007
"65",9.30989583333333,-0.0806646978820826,0.032627120274085,239,-0.0771929698532282,-0.084136425910937
"66",8.06857638888889,-0.0886637535435933,0.0308996264981534,226,-0.0852825998491456,-0.092044907238041
"67",6.82725694444444,-0.0927946672499423,0.0299263544784115,240,-0.0896169584453593,-0.0959723760545254
"68",5.5859375,-0.0967864929938468,0.0326803391821821,240,-0.093316354269436,-0.100256631718258
"69",4.34461805555556,-0.0951168272269352,0.0427004173657917,237,-0.0905541069016729,-0.0996795475521974
"70",3.10329861111111,-0.0920484330191896,0.049791444624948,236,-0.086716746243765,-0.0973801197946142
